"title","category","bluesky","twitter","type","did"
"Simon Håkansson",,"0fflinedocs.bsky.social","0fflinedocs","None","did:plc:wxbu6mbsvq32fjpehnuladrl"
"Reitse Eskens","data","2meterdba.bsky.social","@2meterdba","mvp","did:plc:uvzhf7yu2yv7ujyochhaj2lq"
"Greg Hurlman","businessapps","98.codes","","microsoft","did:plc:jxnyxsrxoqmeduuhehr77mme"
"Aimery Thomas","dev","a1mery.bsky.social","aimery_thomas","mvp","did:plc:72rop3lfkf3izilrojm3mu7g"
"Aaron Powell","dev","aaron-powell.com","slace","microsoft","did:plc:hpxcmmygu3v5lkasag3wk4kz"
"Andre van den Berg - MVP & WIMVP 🇳🇱 🐱‍👤 🇺🇦","windows","aavdberg.bsky.social","aavdberg","mvp","did:plc:wysftjwwfchupb55uaeiih55"
"Abdul Kazi 🍁","azure","abdulkazi.bsky.social","abdulkazi","mvp","did:plc:wldsg3hywgy4sj6upwe6symh"
"Nick Landry","dev","activenick.bsky.social","activenick","microsoft","did:plc:pvwdzhqxytn3xuy4cqdcbhsy"
"Adam Fowler",,"adamfowlerit.com","adamfowler_it","None","did:plc:7g6cex5lekaophtgykurpos2"
"Adam Gell",,"adamgell.bsky.social","adamgell","None","did:plc:fotpikp4szwpfp4bnnfxhxfa"
"Michael Washington","dotnet","adefwebserver.com","","mvp","did:plc:mjp2lenosijv5decc646uqcn"
"Adis Jugo","microsoft365","adisjugo.bsky.social","adisjugo","mvp","did:plc:hbqirqzlkgy6gtfptn33wojy"
"Adrià Ariste","businessapps","adriaariste.bsky.social","","mvp","did:plc:4rxo7324bclct4knwwd325ne"
"Adrian Ritter","microsoft365","adrianritter.bsky.social","adrianritter","mvp","did:plc:v7kx5motqafs7gz35mtimkmf"
"Agnius Bartninkas","businessapps","agniusbartninkas.bsky.social","","mvp","did:plc:gwety6ocnkhyp6ux7jagoexq"
"Håkan Silfvernagel","ai","agrevlis.bsky.social","agrevlis","mvp","did:plc:ods2jnnsjc6xok644d356f5o"
"Bernat Agulló","data","agullobernat.bsky.social","agullobernat","mvp","did:plc:v4p2vq5grcbjvpbajeyqpajy"
"Adrian Amos",,"ahamos.bsky.social","ahamos","None","did:plc:jbuckzlfzonlpjskenreri3p"
"Aidan Finn","azure","aidanfinn.bsky.social","joe_elway","mvp","did:plc:r3mqkhfctud4mwdbktxihnny"
"Andy Jaw","security","ajawzero.com","ajawzero","microsoft","did:plc:mkmbwsyxtdqbh6qvql3uw2y7"
"Anthony J. Fontanez",,"ajf8729.com","ajf8729","None","did:plc:7jtkrch3pryofkfdxlpgnatv"
"Andy Levy",,"alevyinroc.flxsql.com","alevyinroc","None","did:plc:p42kyuu6ybsuf77ad5uqhg2c"
"Aleksandar Nikolić","azure","alexandair.bsky.social","alexandair","mvp","did:plc:qsso3aixn7gug6her5uu3e5o"
"Alex Chrostowski","azure","alexchro.info","","microsoft","did:plc:x5i72rctjofb5c5d4a6jhhsl"
"Alexander Holmeset","microsoft365","alexholmeset.bsky.social","alexholmeset","mvp","did:plc:usp2ucpw7bkhcozyk2vzpnt7"
"Alex Witkowski","dotnet","alexwitkowski.bsky.social","alex_witkowski","mvp","did:plc:uq4uenz6l5o4kaxwl5vnuw6b"
"Alistair Pugin","microsoft365","alistairpugin.bsky.social","alistairpugin","mvp","did:plc:jsxe5ixfd7jok7he63modsdg"
"Hailey Phillips | MVP","intune","allwayshype.com","allwayshype","mvp","did:plc:j25ig3ar6gigewdmk47fzwpd"
"Tobias Almén ","intune","almenscorner.bsky.social","almenscorner?s=21","mvp","did:plc:l2oncfasp5pyqgizod2jm3ya"
"Alpesh Nakar",,"alpeshnakar.com","alpesh","None","did:plc:7xbcqswcuz6ihmyrc7jmtcwf"
"Alta Martes",,"altamartes.bsky.social","altaict","None","did:plc:qodmadhzlgyq3snphjyqhzxg"
"Alvin Ashcraft","dev","alvinashcraft.bsky.social","alvinashcraft","microsoft","did:plc:tdj5ie3dprhi242wsd7ykk7k"
"Amadeo Landero","modernwork","amadeolandero.bsky.social","amadeolandero","microsoft","did:plc:nw62otfu5xcpgbn4lnk4etno"
"Ami Diamond","microsoft365","amidiamond.bsky.social","ami_diamond","mvp","did:plc:hpgt64wkgi6yz6qxt23pvolk"
"Anders Kristiansen","security","anderskristiansen.bsky.social","","mvp","did:plc:yuuhh3yyeyzwzsoxlsep5j6h"
"Anders Uhl","data","andersuhl.bsky.social","","microsoft","did:plc:vid3gf55zondhujmau6wxxzq"
"Andras Gaal","microsoft365","andras.gaal.eu","","microsoft","did:plc:dmkucn7erri4ypuxz2533ckl"
"Andres Bohren",,"andresbohren.bsky.social","andresbohren","None","did:plc:msosg57min33yi5q3q5btngt"
"Andres Gorzelany","microsoft365","andresgorzelany.bsky.social","andresgorzelany","mvp","did:plc:rm3sjzoalfsbjoystepa257m"
"Andrew Connell","microsoft365","andrewconnell.com","andrewconnell","mvp","did:plc:wqrd5dcowa6prnww4jcgyfbb"
"Andrew Johnson",,"andrewjnet.bsky.social","andrewjnet","None","did:plc:3mfptbrrxgifne72kzbqmwxt"
"Andrew Lock","dotnet","andrewlock.bsky.social","andrewlocknet","mvp","did:plc:v7z2lui3kjl2szfdzi5ilsqi"
"Andrew Taylor","intune","andrewstaylor.bsky.social","","mvp","did:plc:4weetj2jgbbwy4w6skoygrpm"
"André Melancia",,"andy.pt","andypt","None","did:plc:dptplopjwi64btl77dzryomz"
"Andy Huneycutt","microsoft365","andyhuneycutt.bsky.social","@andyhuneycutt","mvp","did:plc:fwgej2w73cvh3mm237s5z4mw"
"Andy Syrewicze","security","andysandwich.bsky.social","asyrewicze","mvp","did:plc:sv5rv52gms2fbkoijrts5c2b"
"Angelo Belchior","dotnet","angelobelchior.bsky.social","","mvp","did:plc:i64ikrv2yhrj6x5o7gwaucun"
"Aniruddha Anikhindi","azure","aniglasgow.bsky.social","","microsoft","did:plc:7555nn6w3migqe5i7skwtqap"
"Anthony Chu","azure","anthonychu.ca","nthonychu","microsoft","did:plc:dunwsebpbcxgvkmtwc4nakt6"
"April Dunnam","businessapps","aprildunnam.bsky.social","aprildunnam","microsoft","did:plc:ff2kfhdzlqw4vznzz34j7wrc"
"Austen Puleston",,"apuleston.bsky.social","apuleston","None","did:plc:ypvewxdalevu5s2yh3cbmaob"
"Ardalis","dev","ardalis.com","ardalis","mvp","did:plc:3vo24c2exro34bgvkqcupbot"
"Ariën de Groot","windows","ariendg.adgict.nl","ariendg","None","did:plc:vdfbjk2pvs4kmy2gxtgfeztm"
"Arjen Furster",,"arjenfurster.bsky.social","arjenfurster","None","did:plc:snb6d3v2qelvs6d3zqe2hm5v"
"John Joyner","security","arkswo.bsky.social","john_joyner","mvp","did:plc:7y7z3brepqf3t5joehnjf5cr"
"ArtL","dev","art-l.bsky.social","artlms","microsoft","did:plc:gswvix3objxg4me37oookbmr"
"Toni Pohl","azure","atwork.bsky.social","@atwork","mvp","did:plc:itkyg6qsh32yqdbo37jx7xgn"
"Avalonia UI",,"avaloniaui.net","avaloniaui","None","did:plc:2q27iqrr2hlscur75ffysuoe"
"Marc-André Moreau",,"awakecoding.com","awakecoding","None","did:plc:cror7ofu623g3e6ajhg4arce"
"Alan Kinane","azure","azurealan.ie","azure_alan","mvp","did:plc:twzlei5q5vh6tb5ejsse747c"
"Luigi Pandolfino",,"azurelab.bsky.social","","None","did:plc:ecgnsfwu3kdz4womon35gfgt"
"Azure Weekly",,"azureweekly.endj.in","azureweekly","None","did:plc:qifcssw4ymmiekaemsqjisud"
"Fabian Bader","security","bader.cloud","fabian_bader","mvp","did:plc:wmmszkvbaszr22t7yveskqzf"
"Bailey Bercik","security","baileybercik.bsky.social","baileybercik","microsoft","did:plc:tl367ms42hnygvut2qd3hpyh"
"Michael Jolley","windows","baldbeardedbuilder.com","michaeljolley","microsoft","did:plc:znnwvvpvrmu2nttomhzb5c4n"
"Barret Blake","businessapps","barretblake.dev","barretblake","mvp","did:plc:wtsercul64odhwht7z5g54et"
"Jeremy Vyska | #MSDYN365BC MVP","businessapps","bc.jeremy.vyska.info","jeremyvyska","mvp","did:plc:3ujbn32bqqkgbfk62s27xvhx"
"Beau Cameron","microsoft365","beaucameron.com","","mvp","did:plc:tiuuxaloov3lnzp6qormhhd4"
"Stefan Beckmann",,"beckmann.tech","alphasteff","None","did:plc:7ih7w7dyoopuaqtjgp5oqnnb"
"Steve Turner","security","beingageek.com","beingageek","microsoft","did:plc:fehdysnhiwa7pr5yheizu46e"
"Davide Bellone","dotnet","bellonedavide.bsky.social","bellonedavide","mvp","did:plc:kml34b7juaqqecigiywcmkwa"
"Ben Thomas","azure","ben.hybridby.design","nz_benthomas","mvp","did:plc:gjd45izizsftjgc2qzlwimmq"
"Ben Curran","azure","bencurran.dev","bencurrandev","microsoft","did:plc:tmq7aiiziiftupda2rsbwp7m"
"Ben Sampica",,"bensampica.com","","None","did:plc:ha6ohfhmxe4rvmqxi6ngfghx"
"Ben Stegink","microsoft365","benstegink.bsky.social","benstegink","mvp","did:plc:cqyt27crybl3dgj6angxbwxz"
"Bernardo Rodrigues",,"bernardofsr.bsky.social","","None","did:plc:yb6vy4rb76svvffxgfqoxpya"
"Bernd",,"bernd.network","","None","did:plc:p4k4xirdlkinpmdx7adyongk"
"Hugo Bernier","microsoft365","bernierh.bsky.social","bernierh","mvp","did:plc:i3wsjzpo7sjlvpacnf6fbt3v"
"Betsy Weber",,"betsyweber.bsky.social","betsyweber","microsoft","did:plc:eieexlekd2kvzxichl5ctkmy"
"Shaun Lawrence","dotnet","bijington.bsky.social","bijington","mvp","did:plc:wazjrkak4b745ohwagshloau"
"Benjamin F.","intune","bjflamm-msft.bsky.social","@bjflamm","microsoft","did:plc:v5ou2gnvoj7laiffapapbwaw"
"Barry Dorrans","dotnet","blowdart.me","blowdart","microsoft","did:plc:hfgp6pj3akhqxntgqwramlbg"
"Bob German","microsoft365","bob1german.com","bob1german","microsoft","did:plc:gbwcrs6hle4dnhgtscxgpzpd"
"Bob Pusateri",,"bobp.bsky.social","sqlbob","None","did:plc:syzpdu4c5s7o4rm3gzvgpjff"
"Brenda Hidalgo",,"brendahidalgo.bsky.social","","None","did:plc:37qiyr7std22rgj3hw2rsu6s"
"Brendan Enrick",,"brendoneus.com","brendoneus","None","did:plc:2vpvmm6vskivot3b2nlloggf"
"Brian Baldock","microsoft365","brianbaldock.bsky.social","britheguy","microsoft","did:plc:kxjo5ghhbdpgwu2tgwxeilo7"
"Brian Timp",,"briantimp.bsky.social","briantimp","None","did:plc:yy6waemmecnidxfjwnh473tu"
"Brian T. Jackett","microsoft365","briantjackett.com","briantjackett","microsoft","did:plc:gdgu6mmka6lyuvvtvxfsop5j"
"Brian Veldman",,"brianveldman.bsky.social","","None","did:plc:vas4pwrmee5km6uxox4zht5q"
"Bruno Pinon",,"brunopinon.bsky.social","","None","did:plc:n4blbums56uiiz7tk5qj42be"
"Ben Schorr","microsoft365","bschorr.bsky.social","bschorr","microsoft","did:plc:gwp6j2luj75mdlqd7enhl6xw"
"Steve Buchanan","azure","buchatech.bsky.social","buchatech","microsoft","did:plc:olxz2uwh2tywglvskunwxog4"
"Torren Manson","microsoft365","bumpinthenet.bsky.social","bumpinthenet","mvp","did:plc:lrvbddlibrffl5hkroe3pnwd"
"Bradley Wyatt",,"bwya77.bsky.social","","mvp","did:plc:dfoijy7sesfyswxnvlumq5ow"
"Ben Whitmore","intune","byteben.bsky.social","byteben","mvp","did:plc:wanglrnewptpw4bhbktvahi5"
"Rudy Ooms | MVP","intune","call4cloud.nl","mistermdm","MVP","did:plc:2xpj4rj7haxq2qzrhq5pfgr7"
"Safia Abdalla","dev","captainsafia.bsky.social","captainsafia","microsoft","did:plc:3ww4zeqrea4pbyk3e7gfxaol"
"Cathrine Wilhelmsen","data","cathrinew.bsky.social","cathrinew","mvp","did:plc:xbw4ippkcrqleyh42eo57gsh"
"Christopher Gill","azure","cfgcloud.io","cgill","mvp","did:plc:pzqko7bb7jht5hlbre2j635t"
"Chris Goosen","microsoft365","cgoosen.com","chrisgoosen","mvp","did:plc:xyi6dtwsjdwa6fb4vkb4nbmc"
"Charbel Nemnom",,"charbelnemnom.com","charbelnemnom","None","did:plc:ar6vdm6a2q5u4p7733y3k3lu"
"Chet Husk","dotnet","chethusk.bsky.social","chethusk","microsoft","did:plc:yystnvgk46vhlfk4ovckvrdr"
"Chris Huff","security","chris-huff.com","","microsoft","did:plc:x5cbwodcauor4nu7iscpg4kv"
"Chris Sienkiewicz","dev","chris.sienkiewi.cz","chiser99","microsoft","did:plc:qdgvaz44myqcvi7fungk4rab"
"Christian Forjahn",,"chris4jahn.bsky.social","chris4jahn","None","did:plc:mn2c5flid2x3jnlry35pmhj5"
"Christophe Gigax ","azure","christophegigax.bsky.social","christophegigax?t=nofaygca75yijtuzlydmea&s=09","mvp","did:plc:kw3geaxn7lzgp3zz3edsfwnm"
"Travis Roberts","azure","ciraltos.bsky.social","ciraltos","mvp","did:plc:ggjpumu7mabb4z4ydc7vpwyo"
"CK","windows","ck.manof100hats.com","","microsoft","did:plc:rwqen4sorpv5g62e5ajy22cq"
"Nat Portillo","dotnet","claunia.com","tinkeringdaemon","microsoft","did:plc:mh7el4gfewiiykwy3q3skemj"
"Clemens Vasters","azure","clemens.vasters.com","clemensv","microsoft","did:plc:sthd2dnrddxe6icdqza2oryx"
"Dennis Johansson","security","clouddenka.bsky.social","clouddenka","None","did:plc:syus5u67kkozjhv7o5r74ely"
"Katy Nicholson","windows","coasterkaty.com","coaster_katy","mvp","did:plc:vhnkfsnunrt7egcdbiqe7m24"
"Bill Wilder","azure","codingoutloud.bsky.social","codingoutloud","mvp","did:plc:vaohwkmuqc3xwddl3vmta6gw"
"Calvin A. allen","dotnet","codingwithcalvin.net","","mvp","did:plc:yiylgo2hvnu6smycy6gchf2o"
"Cole Pascua",,"coleefy.bsky.social","coleefy","None","did:plc:xketftdi3erwnnpj2nahmgjk"
"ConfigMgrDogs","intune","configmgrdogs.bsky.social","configmgrdogs","microsoft","did:plc:iias7ig4uth2thz52wcqdgwd"
"Craig Camacho (The Deployment Guy)","windows","craigcamacho.bsky.social","","microsoft","did:plc:ggdk3mds6hvgghb7uevpfntw"
"Craig Wilson","security","craigwilson.bsky.social","craigwilsonoz","microsoft","did:plc:jp3wzgjfy4bxv6mnphgcain2"
"CJ",,"crh.bsky.social","n805dn","None","did:plc:pvgid5nlpgk7gftmwwmjfdng"
"Cris Weber",,"crisweber2600.bsky.social","","None","did:plc:svyhcjuoc2ivg6dtnldohfey"
"Heidi Neuhauser","businessapps","crmheidi.bsky.social","crmheidi","mvp","did:plc:smysitnjh336iu5xyzc5bhsw"
"crookedbong.bsky.social",,"crookedbong.bsky.social","crookedbong","None","did:plc:edwj5m4dvrufn3dmn4al7wg3"
"CSLA .NET",,"cslanet.bsky.social","cslanet","None","did:plc:plxsaybjxrxjj2ewmxi763gz"
"Mehmet Ergene","security","cyb3rmonk.bsky.social","cyb3rmonk","mvp","did:plc:u7teeylvl27zsg2drb6z5bzc"
"Dian Taylor","businessapps","d365goddess.bsky.social","d365goddess","mvp","did:plc:bjtiux2xhik7pmhi24agtes2"
"Peter Daalmans","intune","daalmans.com","pdaalmans","mvp","did:plc:4k5d7ytzf77y45b77imzuw3v"
"Daniel Kordes","microsoft365","dako365.bsky.social","dakordes","mvp","did:plc:p23jv4bmhkffjw6kf4wtmxvi"
"Damian Edwards","dotnet","damianedwards.com","damianedwards","microsoft","did:plc:tlaiqoqjss3nznnj4hjzqw7m"
"Damien Bowden","dotnet","damienbod.bsky.social","","mvp","did:plc:74evh6nlvnbawstd25fazmz4"
"Damian Brady","dev","damovisa.me","damovisa","microsoft","did:plc:km3dtornt2c2ca3w446fx6ns"
"Dan Toft","microsoft365","dan-toft.dk","tanddant","mvp","did:plc:unykt24f5bwtbptrmonkqgbc"
"Dana Epp","security","danaepp.bsky.social","danaepp","mvp","did:plc:ho4pccfwsr4mtbu7cnlj7ius"
"Dan Brinkmann",,"danbrinkmann.bsky.social","dbrinkmann","None","did:plc:mmrpw2vvwtl2ylwic4rfkved"
"Dan Clarke","dev","danclarke.com","dracan","mvp","did:plc:xv7ripmgdhtiovrweiyefu3d"
"Daniel Anderson","microsoft365","danielanderson.io","sharepointfocus","mvp","did:plc:5jysdkk4y2j65dhiip2dodvv"
"Daniel Bradley","security","danielbradley.bsky.social","danielatocn","mvp","did:plc:mnw5kgad32i2ylajujim3qju"
"Danielleha",,"danielleha.bsky.social","","None","did:plc:v3eyrofvj7neld7urvi4uefj"
"Daniel Marbach","azure","danielmarbach.bsky.social","danielmarbach","mvp","did:plc:egohz7i4ft5jjduvwosgu5tb"
"Daniel Roe","dev","danielroe.dev","danielcroe","mvp","did:plc:jbeaa5kdaladzwq3r7f5xgwe"
"Daniel Rubino",,"danielrubino.bsky.social","daniel_rubino","None","did:plc:l4qw57dsyvdjne5sxqbmq2aj"
"DanOslo4",,"danoslo4.bsky.social","","None","did:plc:qyjljhe2jbllc4dwkd5lgg66"
"Darach Nugent",,"darachn.bsky.social","d_arach","None","did:plc:xrwzyki7czwjz3wdc5ubfadb"
"Nikola Ilic","data","datamozart.bsky.social","datamozart","mvp","did:plc:h2iocko2edbew7s7ul6sytlp"
"Dave Chomas","intune","daveinma.bsky.social","davechomas","microsoft","did:plc:y3rn3hqff3des6qtn5zyxkpg"
"David O'Brien",,"daveobrien.bsky.social","david_obrien","None","did:plc:i6zmedqmzwhkkmjsao5ty4nr"
"David Gardiner","dev","david.gardiner.net.au","davidrgardiner","mvp","did:plc:gmdb2ngatfbh6be24zvkmpu6"
"David Wengier","dotnet","david.wengier.com","davidwengier","microsoft","did:plc:rf6ztntiq2xhfeyshuourzw6"
"David Anson","dev","davidanson.bsky.social","davidans","microsoft","did:plc:cr5zae356gjhnj5yiw6blcki"
"David Ebbo","dotnet","davidebbo.bsky.social","davidebbo","None (ex-MSFT)","did:plc:epqi4ceyanwskfwz4nnm3kwf"
"David Fowler","dotnet","davidfowl.com","davidfowl","microsoft","did:plc:d47qj4iye2tgorzu3os4ayss"
"David Pine","dotnet","davidpine.bsky.social","davidpine7","microsoft","did:plc:wfab4fse6rura2gijiu3wru4"
"David Whitney","dev","davidwhitney.bsky.social","david_whitney","mvp","did:plc:pvzf64m7jdijfrp2yr2sgzh6"
"David Whitney","dotnet","davidwhitney.co.uk","david_whitney","mvp","did:plc:pvzf64m7jdijfrp2yr2sgzh6"
"Dennis Doomen","dev","ddoomen.bsky.social","ddoomen","mvp","did:plc:25iypiijjfwrpnm4k5bcudyq"
"Allan De Castro","businessapps","decastroallan.bsky.social","decastroallan","mvp","did:plc:6lukriwpec7rpz4wlusmkhgm"
"Dennis Schoone",,"dennisschoone.bsky.social","","None","did:plc:a24gwxwlvixk6qxl7r7jmaog"
"Derek Cash-Peterson","microsoft365","derekcp.bsky.social","spdcp","mvp","did:plc:yytlejth7q4c4cbvasu5o7g4"
"Clayton Tyger","azure","devclate.bsky.social","clatent","mvp","did:plc:munmkmorl6d57hkragyydlyh"
"Devfender",,"devfender.bsky.social","","None","did:plc:hcazyispdexglxmqdkx7pywk"
"Mattias Karlsson","dotnet","devlead.se","devlead","mvp","did:plc:4mkgcy4uuj7gwvvb3sze3cpp"
"Dev Leader","dev","devleader.ca","devleaderca","microsoft","did:plc:uawh2h2422ptnitympfhiiht"
"Steven Thewissen","dotnet","devnl.bsky.social","devnl","mvp","did:plc:ry3lzp4xsm5dlbgxho3yntzh"
"Dean",,"dfowler.dev","dfowler_","None","did:plc:kjvttpe45vu3ncnwkw4hul65"
"Daniel Hutmacher","data","dhma.ch","dhmacher","mvp","did:plc:o7k2ggp57scudwy6ng34i7v2"
"Didier Danloy","security","didier3001.bsky.social","didierdanloy","microsoft","did:plc:raz5cnv5pgi763ove4lnnzdt"
"Dieter Gobeyn",,"dietergobeyn.bsky.social","dietergobeyn","None","did:plc:cm7i7rbprvjolo6zjzemewex"
"Diego Salgado",,"dirgosalga.bsky.social","","None","did:plc:mukkhzcndwdnbtax4i6nwzfs"
"Johnny Hooyberghs","dotnet","djohnnie.bsky.social","djohnnieke","mvp","did:plc:2o4pjljmajghpk6odle3cpwn"
"Peter Åkerlund",,"djpakerlund.bsky.social","@djp_akerlund","None","did:plc:4q5rfjwg2mpjj5io5ud6opqo"
"Daniel Kåven",,"dkaaven.bsky.social","","None","did:plc:jtpvkf6jdmd5pvg5jm4voxgu"
"Danny McDermott","azure","dmc-tech.bsky.social","_dmc_tech_","mvp","did:plc:zt4mkfscv6vehwao4tsmjbxo"
"Dave Stork","microsoft365","dmstork.bsky.social","dmstork","mvp","did:plc:rsbdwkdz2jyfqy53j5n4eq3y"
"Dennis Lind",,"dnsinit.bsky.social","dnsinit","None","did:plc:xk6y2d646i3cbwbimktrmm6r"
"Danis",,"dnsl9r.bsky.social","dan_flr","None","did:plc:ypetsi2x67pswbyzmth6lhad"
"Dody Gunawinata",,"dodyg.bsky.social","dodyg","None","did:plc:lrnveibw75dq6mf7ma2lsaya"
"Dominique Hermans",,"dominiquehermans.bsky.social","","None","did:plc:tg3pyhfuq6rgpjfv7qk7le76"
"Dom Kirby",,"domkirby.bsky.social","dom_kirby","None","did:plc:3vvvs4nmqx74c6vty367g6zs"
"Doron Holan","windows","doronh.bsky.social","doronholan","microsoft","did:plc:snbk3ab3x5ttwqjk6qkff64n"
"Drago Petrovic [MVP]","microsoft365","dotcloud.pro","_dragopetrovic","mvp","did:plc:gjx65cbhac2ybl5mtlwuq4uy"
